"match_id","trackable_object","club_name","player","position_short","unit","n","defensive_third","middle_third","attacking_third","ball_att_loc_def","ball_def_loc_def","ball_mid_loc_def","ball_att_loc_mid","ball_def_loc_mid","ball_mid_loc_mid","ball_att_loc_att","ball_def_loc_att","ball_mid_loc_att","ball_att_mid_dist","ball_def_mid_dist","ball_mid_mid_dist","ball_att_goal_dist","ball_def_goal_dist","ball_mid_goal_dist","knn_pred","correct_pred"
2068,9982,"Inter","Stefan de Vrij","CB","DEF",20477,0.778727352639547,0.162328466083899,0.0589441812765542,0,0.985093972780298,0.616404199475066,0.0924608819345661,0.0146899978397062,0.359448818897638,0.907539118065434,0.000216029379995679,0.0241469816272966,35.1937746177133,35.4709795039278,22.5670676456006,84.0444800098097,19.1583287783467,33.8747502569158,"DEF",1
2068,7648,"Inter","Milan Skriniar","LCB","DEF",22217,0.668362065085295,0.260116127289913,0.0715218076247918,0,0.957024236983842,0.463623549821099,0.15604186489058,0.0421903052064632,0.509378727095305,0.84395813510942,0.000785457809694794,0.0269977230835954,35.7265794878751,36.7070954481089,23.9678534609473,82.0728900468199,21.7869340717535,38.0460441789527,"DEF",1
2068,2296,"Inter","Danilo D'Ambrosio","RW","ATT",23995,0.407626588872682,0.34753073556991,0.244842675557408,0,0.854875607663712,0.238647663241631,0.143815701185417,0.145124392336288,0.655728648768092,0.856184298814583,0,0.105623687990277,36.9780877329933,36.7669616927003,27.9518734987144,82.6478144380533,27.7840646871767,51.672030766758,"ATT",1
2068,8052,"Inter","Nicolo Barella","RM","MID",27653,0.314649405127834,0.505080823057173,0.180269771814993,0,0.746151804670913,0.145115067303517,0.29816700610998,0.253848195329087,0.815284411636995,0.70183299389002,0,0.0396005210594876,27.6008484695065,29.6091315150346,18.5648082568081,74.2556484127931,30.4924425351854,48.1815777799136,"MID",1
2068,7209,"Inter","Matias Vecino","LM","MID",20339,0.328826392644673,0.472589606175328,0.198584001179999,0,0.7039600772698,0.145991771599551,0.239055299539171,0.29507405022537,0.765615259942651,0.76094470046083,0.000965872504829363,0.0883929684577983,30.4127471508739,26.7581188450172,18.0808275406093,78.7571449601718,30.901070607552,49.3366851533085,"MID",1
2068,7246,"Inter","Matteo Politano","LF","ATT",4312,0.0517161410018553,0.530380333951763,0.417903525046382,0,0.269372693726937,0.0291938997821351,0.101036269430052,0.730627306273063,0.752941176470588,0.898963730569948,0,0.217864923747277,31.9205323604726,27.1192827205174,22.0298615427056,78.5815875850268,45.3277612338901,58.3097265993662,"ATT",1
2068,19244,"Inter","Alessandro Bastoni","RCB","DEF",7718,0.487561544441565,0.401528893495724,0.110909562062711,0,0.905842947525121,0.276366895727517,0.256410256410256,0.094157052474879,0.698237227367792,0.743589743589744,0,0.0253958769046908,33.0279793304962,35.5550864130388,23.2442260944239,79.7891559741342,24.8234460599712,45.1644291020857,"DEF",1
2068,2715,"Inter","Diego Godin","RCB","DEF",10618,0.798172913919759,0.150216613298173,0.0516104727820682,0,0.983063465475526,0.608197709463532,0.308823529411765,0.0169365345244742,0.367088607594937,0.691176470588235,0,0.024713682941531,35.2572281916623,38.1606508769856,25.7334337495719,80.3521153182866,20.8072994206666,35.7872994006108,"DEF",1
2068,12801,"Inter","Lautaro Martinez","LF","ATT",16811,0.143596454702278,0.398608054250193,0.457795491047528,0,0.669138854552946,0.040301908288237,0.0534791252485089,0.330861145447054,0.717032184562803,0.946520874751491,0,0.24266590714896,34.6252201934943,23.4639246244565,17.6731791028906,83.7140044654251,32.5796360845926,57.35079944626,"ATT",1
2068,11305,"Inter","Stefano Sensi","LM","MID",9162,0.283671687404497,0.357672997162192,0.358655315433312,0,0.926406926406926,0.0957417200111328,0.125109361329834,0.0711880711880712,0.741720011132758,0.874890638670166,0.00240500240500241,0.162538268856109,31.7965903963993,31.5045132011664,19.5879941785995,79.345273182214,25.1060994960856,53.380147762043,"ATT",0
2068,9504,"Inter","Samir Handanovic","GK","GK",6542,0.998165698563131,0,0.00183430143686946,0,1,1,0,0,0,1,0,0,50.6095822116593,48.6325208237566,47.8334715407696,100.229479469533,3.38567687169005,2.89205895529069,"GK",1
2068,9279,"Inter","Romelu Lukaku","RF","ATT",19590,0.0947932618683002,0.412251148545176,0.492955589586524,0,0.535004730368969,0.0263319798203519,0.0772720162677929,0.461684011352886,0.71416266765104,0.922727983732207,0.0033112582781457,0.259505352528608,34.9788397681061,22.5736064855987,17.3828185202023,83.7804685913902,33.1919161916894,58.669711109399,"ATT",1
2068,6024,"Inter","Kwadwo Asamoah","LW","ATT",23031,0.435586817767357,0.344709304849985,0.219703877382658,0,0.840669988925803,0.277143522833178,0.158536585365854,0.159330011074197,0.643639328984157,0.841463414634146,0,0.0792171481826654,36.5923009355585,36.2530612011926,28.5440211734017,80.7064863350782,29.1411279839189,50.1924524827402,"ATT",1
2068,6717,"Inter","Marcelo Brozovic","CM","MID",27613,0.382283706949625,0.49397023141274,0.123746061637634,0,0.80972319143987,0.158947188514784,0.37977644918118,0.19027680856013,0.80285421295505,0.62022355081882,0,0.0381985985301658,26.2702272411327,28.8490399072156,16.8538080665645,72.7582449316389,27.4721734697866,46.586507589594,"MID",1
2068,4023,"Juventus","Gonzalo Higuain","AM","MID",7555,0.160953011250827,0.393778954334878,0.445268034414295,0,0.779303062302006,0.0365310365310365,0.108744902582691,0.220696937697994,0.646272646272646,0.891255097417309,0,0.317196317196317,31.5938154270879,33.090894043018,18.7601582130187,79.7865563196588,21.8789701310396,60.1482361462726,"ATT",0
